wallet,total_unlocked_percentage
0x0033d97bc6a3f5a526a98fe0ab7be2731b0e8d35,10
0x0034657e144d6a5fe1bc7a023d02d099396f2376,50
0x00350571ef908b5790bbff8ec3de63022355eb4c,75
0x003509cb20883d562e35808e106aaa5948f9e793,70
0x00351d37f6df1ae17f5a10fa4741c8db24bcfcbc,75
0x003627ba1ad5bf25e185df9805fba1d60c9928b0,10
0x003643a715a3ee50f78bdc658bc4ac03855e8ca9,50
0x003656eb5ede6798152992b211e4aafab2fafa46,75
0x0036a2d2c232bf6a156af8530175c32967f9729f,80
0x00372f6985eb7f125e2e95b7c6beb811382c12d1,30
0x0037596e568b09a3fcd67c874ff5b35f1876e6a2,10
0x0037fa577e547a7616e4b01d15553a0c7e980c63,80
0x0038c9d58542a9eb58ddbb9b9454e0c39b5dfc2b,75
0x0039995665be8ba3b5fc06f93b8b57a6ebeca09e,50
0x00399e28068e85d89246ccc57f6137e94a14c3d5,50
0x003a0c217539cd9ab11d75d286215b6753683dca,75
0x003a17b23b12f3b9f41ff9e456fd57b3162fa2d1,25
0x003a299c58ce94a2ca3d2d7c2870739d22a896b3,75
0x003a634805c4ca2fd23984224c8fd53309cded1e,75
0x003b7a1b53031de2369bc8fd06cc3a6f98bcf6d8,75
0x003beb207f5c1de0fb25fa24d05ba7d6ab4be197,70
0x003c0bb0efefb8c9f58326ed1f4df975b00ba06d,75
0x003c24dfd39ce08915f7244020e0b4167e62fe98,75
0x003c690228a3a177b9fa8a660e1e23bc93eb2968,80
0x003cb3c813cb826e8b90ca9d2cbe8d5fe66faaac,45
0x003cf5ceeb5fcf7cea6ee4fd223465ace22ed9b8,10
0x003d59437b01943931b1eff2a82a1b3516cc67d4,50
0x003d852db9020d4ed908896642b4ae272ec1f4ae,55
0x003df3eb131ada5e9a47fcc66b34f7cf0b010a98,5
0x003e1a0b0dcf2550e75adae3b388b0525974bc3f,10
0x003e4eb04e27e12b8aa0587137551faeb9e3557c,75
0x003f148eb6cf51c7b098b9c18183ec2d1b2b8a6f,10
0x003f20d0b84b25dd9a389c0a2d37fb9488ade5ea,80
0x003f67c3f19b5d0e61bb44c8a649564434094da6,75
0x003fc5aabeaff22c82fd7773f9865e25c42f982a,50
0x003fed2d00e324f073d9f069a0296b04e6c1ddd6,80
0x00404fab1efc96a6318a71ed538677e1bd387c0e,70
0x00409275d837b5acd6af9f3443274dc5c6c9285c,75
0x00417e58533c597b7ba30dd5bb7ec0a798f71b56,80
0x0041c66bbe1b7cca14afa102d3584fa09b7e4e0d,75
0x0041e7c99444172e6cefa365826061e75e5795f5,10
0x0041f8bbee474d344f4e1a248d2b8100325b738f,75
0x00422eee7459cacf58d3115df53abb81464364b6,50
0x00422fd3bc69a90fd50dbe06b74ff85795e6096e,80
0x004255769a65c1424e55a18ccf953e8e27dd5b55,10
0x0043cb13814a9fca39f4b307ddc218a259398fec,80
0x0043ede3f2d6ddee2cd49c91027e8392e33000b8,50
0x00441089acefb0780331b696446c797604ab6b30,55
0x00442dc8c32d1842902e3a257036b9e3f86f60c5,70
0x004512d6b9c725254a8e85a4926c04116932e1c5,10
0x004555ad06a1d57e3723bf136af4fb6b39741e1f,50
0x0045936c60b2734a1efd4b6d71bec41b7c3968e1,70
0x0046185b20e3ff66392e8f056fa08da09de248ad,70
0x00465794a48b05f98363e3f695de0a8593a5c13b,75
0x0046b4136da7242aaf32d680ff62da92d50c235d,52.5
0x0046d443d271d8c5e5e40779245948dc5622f580,75
0x00474307c814c5a183dc98c32d6929fc9ac3757c,12.5
0x00474b787b8343a6361097dbc156d0091b79e4aa,80
